SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTYPHARMA,20180423,8781.10,8976.80,8781.10,8949.90,15842034,0
NIFTYPHARMA,20180424,8988.70,9092.70,8950.20,8984.15,22448320,0
NIFTYPHARMA,20180425,8964.20,8973.45,8859.80,8901.15,8893915,0
NIFTYPHARMA,20180426,8914.40,8996.55,8883.10,8896.60,16707318,0
NIFTYPHARMA,20180427,8955.75,9022.05,8914.65,8987.40,13447849,0
NIFTYPHARMA,20180430,9030.45,9090.85,9017.95,9060.70,8238921,0
NIFTYPHARMA,20180502,9086.95,9110.55,8921.75,8961.05,12638019,0
NIFTYPHARMA,20180503,8968.70,8977.70,8796.85,8966.30,15587036,0
NIFTYPHARMA,20180504,8962.00,8963.85,8801.60,8817.45,11785618,0
NIFTYPHARMA,20180507,8828.75,8848.35,8674.20,8774.40,11996794,0
NIFTYPHARMA,20180508,8812.95,8882.35,8734.95,8753.25,9014834,0
NIFTYPHARMA,20180509,8754.05,8766.05,8693.50,8704.10,8414007,0
NIFTYPHARMA,20180510,8724.10,8734.35,8518.70,8544.95,13753974,0
NIFTYPHARMA,20180511,8555.40,8565.45,8403.35,8445.70,18014955,0
NIFTYPHARMA,20180514,8458.35,8598.05,8438.00,8462.05,14936711,0
NIFTYPHARMA,20180515,8449.50,8520.55,8313.00,8401.15,18459590,0
NIFTYPHARMA,20180516,8383.20,8425.10,8287.10,8399.10,16479599,0
NIFTYPHARMA,20180517,8417.00,8461.25,8328.85,8403.00,15794190,0
NIFTYPHARMA,20180518,8441.70,8443.75,8195.35,8211.85,20313069,0
NIFTYPHARMA,20180521,8211.35,8218.15,7956.05,7983.20,14653361,0
NIFTYPHARMA,20180522,7993.25,8152.10,7900.35,8118.90,16551603,0
NIFTYPHARMA,20180523,8100.85,8239.35,8050.00,8069.70,17857987,0
NIFTYPHARMA,20180524,8115.05,8231.65,8063.30,8207.00,13601739,0
NIFTYPHARMA,20180525,8247.65,8320.10,8156.35,8297.25,17971232,0
NIFTYPHARMA,20180528,8404.25,8553.60,8381.30,8498.20,32189741,0
NIFTYPHARMA,20180529,8464.80,8556.30,8381.50,8410.45,25874727,0
NIFTYPHARMA,20180530,8341.35,8411.15,8297.75,8321.10,18013713,0
NIFTYPHARMA,20180531,8351.00,8355.35,8181.30,8220.25,42890632,0
NIFTYPHARMA,20180601,8248.70,8297.80,8181.60,8213.20,14588456,0
NIFTYPHARMA,20180604,8263.70,8323.50,8176.80,8205.80,15473744,0
NIFTYPHARMA,20180605,8226.65,8232.05,8019.30,8117.75,29801883,0
NIFTYPHARMA,20180606,8126.90,8245.10,8078.30,8233.65,21619705,0
NIFTYPHARMA,20180607,8259.20,8294.00,8210.90,8252.15,9836284,0
NIFTYPHARMA,20180608,8234.35,8647.15,8220.95,8603.95,51771240,0
NIFTYPHARMA,20180611,8624.70,8780.75,8610.95,8647.15,31870854,0
NIFTYPHARMA,20180612,8669.30,8902.60,8665.45,8870.45,36058755,0
NIFTYPHARMA,20180613,8949.90,9084.35,8914.20,8948.95,45276304,0
NIFTYPHARMA,20180614,8964.35,9133.45,8923.25,9112.45,37928305,0
NIFTYPHARMA,20180615,9159.40,9352.20,9151.45,9316.25,53246874,0
NIFTYPHARMA,20180618,9314.90,9390.55,9190.05,9319.30,21676233,0
NIFTYPHARMA,20180619,9323.40,9424.15,9234.30,9253.95,27878540,0
NIFTYPHARMA,20180620,9292.40,9371.55,9204.80,9291.35,25783354,0
NIFTYPHARMA,20180621,9343.55,9345.85,9177.50,9198.80,17515075,0
NIFTYPHARMA,20180622,9195.40,9389.00,9082.25,9360.90,27449427,0
NIFTYPHARMA,20180625,9360.75,9469.90,9260.65,9286.80,33697139,0
NIFTYPHARMA,20180626,9275.65,9305.40,9228.40,9247.75,16909061,0
NIFTYPHARMA,20180627,9277.65,9305.10,9179.50,9263.45,24631444,0
NIFTYPHARMA,20180628,9268.10,9344.15,9119.70,9149.40,25957341,0
NIFTYPHARMA,20180629,9172.80,9218.60,9083.50,9173.15,16016282,0
NIFTYPHARMA,20180702,9198.90,9223.75,9092.30,9133.90,13353159,0
NIFTYPHARMA,20180703,9157.25,9348.35,9079.60,9325.30,23858870,0
NIFTYPHARMA,20180704,9355.10,9460.95,9337.70,9399.60,29258297,0
NIFTYPHARMA,20180705,9429.90,9462.40,9255.60,9274.25,17005978,0
NIFTYPHARMA,20180706,9273.25,9360.00,9159.00,9189.90,16330062,0
NIFTYPHARMA,20180709,9241.50,9336.75,9236.50,9307.60,13650731,0
NIFTYPHARMA,20180710,9343.90,9356.50,9225.35,9276.10,14269149,0
NIFTYPHARMA,20180711,9258.90,9330.55,9208.05,9228.70,14937555,0
