SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTYPSE,19990419,-,-,-,345.86,-,0,0
NIFTYPSE,19990420,-,-,-,344.34,-,0,0
NIFTYPSE,19990421,-,-,-,351.75,-,0,0
NIFTYPSE,19990422,-,-,-,343.19,-,0,0
NIFTYPSE,19990423,-,-,-,341.89,-,0,0
NIFTYPSE,19990426,-,-,-,326.66,-,0,0
NIFTYPSE,19990428,-,-,-,339.53,-,0,0
NIFTYPSE,19990429,-,-,-,357.73,-,0,0
NIFTYPSE,19990430,-,-,-,367.44,-,0,0
NIFTYPSE,19990503,-,-,-,365.80,-,0,0
NIFTYPSE,19990504,-,-,-,375.57,-,0,0
NIFTYPSE,19990505,-,-,-,384.08,-,0,0
NIFTYPSE,19990506,-,-,-,395.19,-,0,0
NIFTYPSE,19990507,-,-,-,412.04,-,0,0
NIFTYPSE,19990510,-,-,-,426.26,-,0,0
NIFTYPSE,19990511,-,-,-,437.06,-,0,0
NIFTYPSE,19990512,-,-,-,436.48,-,0,0
NIFTYPSE,19990513,-,-,-,447.92,-,0,0
NIFTYPSE,19990514,-,-,-,461.16,-,0,0
NIFTYPSE,19990517,-,-,-,470.73,-,0,0
NIFTYPSE,19990518,-,-,-,488.64,-,0,0
NIFTYPSE,19990519,-,-,-,514.65,-,0,0
NIFTYPSE,19990520,-,-,-,497.23,-,0,0
NIFTYPSE,19990521,-,-,-,470.51,-,0,0
NIFTYPSE,19990524,-,-,-,462.03,-,0,0
NIFTYPSE,19990525,-,-,-,463.75,-,0,0
NIFTYPSE,19990526,-,-,-,464.43,-,0,0
NIFTYPSE,19990527,-,-,-,446.60,-,0,0
NIFTYPSE,19990528,-,-,-,429.52,-,0,0
NIFTYPSE,19990531,-,-,-,455.79,-,0,0
NIFTYPSE,19990601,-,-,-,442.60,-,0,0
NIFTYPSE,19990602,-,-,-,452.11,-,0,0
NIFTYPSE,19990603,-,-,-,462.72,-,0,0
NIFTYPSE,19990604,-,-,-,466.77,-,0,0
NIFTYPSE,19990607,-,-,-,470.14,-,0,0
NIFTYPSE,19990608,-,-,-,486.26,-,0,0
NIFTYPSE,19990609,-,-,-,484.49,-,0,0
NIFTYPSE,19990610,-,-,-,490.62,-,0,0
NIFTYPSE,19990611,-,-,-,478.56,-,0,0
NIFTYPSE,19990614,-,-,-,469.09,-,0,0
NIFTYPSE,19990615,-,-,-,462.83,-,0,0
NIFTYPSE,19990616,-,-,-,472.43,-,0,0
